HotspotID,LabName,Addresses
33,"Government Medical College, Haldwani","Rampur Rd, Rampur, Haldwani, Uttarakhand 263129"
34,"All India Institute of Medical Sciences (AIIMS), Rishikesh","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203"
35,"King George's Medical University, Lucknow","Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003"
36,"Jawaharlal Nehru Medical College, Aligarh","Medical Rd, AMU Campus, Aligarh, Uttar Pradesh 202002"
37,"Lady Hardinge Medical College, New Delhi","Lady Hardinge Medical College, Connaught Place, New Delhi, Delhi 110001"
38,"Uttar Pradesh University of Medical Sciences, Saifai","Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130"
39,"Institute of Medical Sciences, BHU, Varanasi","Aurobindo Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005"
40,"BJ Medical College, Ahmedabad ","BJ Medical College, Asarwa,, Civil Hospital Campus, Ahmedabad, Gujarat 380016"
41,"M.P. Shah Govt Medical College, Jamnagar","Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008"
42,"Government Medical College, Vadodara","Vinoba Bhave Rd, Anandpura, Vadodara, Gujarat 390001"
43,"Government Medical College, Surat","Opp Income Tax Department Office, Majura Gate, Surat, Gujarat 395001"
45,"Government Medical College, Rajkot","Pandit Dindayal Upadhyay Medical College, Sadar Civil Hospital Campus, Rajkot, Gujarat 360001"
46,"Government Medical College, Bhavnagar","Near State Road Transport Corporation Bus Stand, Bhavnagar, Gujarat 364001"
47,"Pandit Bhagwat Dayal Sharma Post Graduate  Institute of Medical Sciences, Rohtak","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony, Rohtak, Haryana 124514"
48,"BPS Government Medical College for Women, Sonipat","BPS Government Medical College for Women, Ganaur - Gohana Rd, Khanpur Kalan, Haryana 131305"
49,"Indira Gandhi Medical College, Shimla","Ridge Sanjauli Rd, Lakkar Bazar, Shimla, Himachal Pradesh 171001"
50,"Dr. Rajendra Prasad  Government Medical College, Kangra","Tanda Hospital Rd, Kangra, Himachal Pradesh 176001"
51,"Sher - i -Kashmir Institute of Medical Sciences, Srinagar","SKIMS Main Rd, Soura, Srinagar, 190011"
52,"Government Medical College, Jammu","Maheshpura, Chowk, Bakshi Nagar, Jammu Cantonment, Jammu and Kashmir 180001"
53,"Government Medical College, Srinagar","Jammu and Kashmir, Bemina, Srinagar, 190010"
54,"Rajendra Institute of Medical Sciences, Ranchi","Rims Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009"
55,"MGM Medical College, Jamshedpur ","Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020"
56,"Bangalore Medical College & Research Institute, Bangaluru","Bangalore Medical College & Research Institute, Krishna Rajendra Rd, Bengaluru, Karnataka 560002"
57,"Mysore Medical College and Research Institute, Mysore","Irwin Road, Next to Railway Staion, Mysuru, Karnataka 570001"
59,"Hassan Institute of Medical Sciences, Hassan","Shri panchamukhi medicals and clinic, opp. govt high school, Hassan, Karnataka 573201"
60,"Shimoga Institute of Medical Sciences, Shivamogga","Shimoga Institute of Medical Sciences, N.H.-206, B.H. Road, Shivamogga – 577201 Karnataka"
61,"Gulbarga Institute Of Medical Sciences, Gulbarga","Sedam Rd,Veeresh Nagar Cross, behind MRMC, Gulbarga, Karnataka 585101"
62,"Government Medical College, Kozhikode ","17 Medical College Road Medical College Junction, Near Police Station, Kozhikode, Kerala 673008"
63,"Government Medical College, Trivandrum","Ulloor - Akkulam Rd, near SAT hospital Medical College Junction, Chalakkuzhi, Thiruvananthapuram, Kerala 695011"
64,"Government Medical College, Thrissur","M. G. Kavu, Thrissur, Kerala 680596"
65,"ICMR-National Institute of Virology Field Unit, Allapuzzha","E-Block, 2nd Floor, Govt. TDMC Hospital Complex, Vandanam, Alappuzha 688005 Kerala"
66," All India Institute of Medical Sciences (AIIMS), Bhopal","All India Institute of Medical Sciences (AIIMS), AIIMS Campus Rd, Saket Nagar, Habib Ganj, Bhopal, Madhya Pradesh 462026"
67,"MGM Medical College, Indore","MGM Medical College, Indore, Madhya Pradesh 452001"
70,"ICMR-National Institute for Research in Tribal Health, Jabalpur"," NIRTH Complex, Nagpur Road P.O. - Garha, Jabalpur - 482 003, Madhya Pradesh, India"
72,Indira Gandhi Government Medical College & Hospital,"Mayo Hospital, Central Ave, Mominpura, Nagpur 440018"
73,"Government Medical College And Hospital, Miraj","Pandharpur Rd, Maji Sainik Vasahat, Miraj, Maharashtra 416410"
74,"Seth GS Medical College & KEM Hospital, Mumbai","Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012"
75,"Government Medical College, Agartala","79 Tilla, Agartala, Tripura 799006"
77,Govt Medical College & Hospital Aurangabad,"University Road, Jubilee Park, Aurangabad, Maharashtra 431004"
78,"Shree Bhausaheb Hire Govt Medical College, Dhule","Shree Bhausaheb Hire Govt Medical College, Dhule,Chakkarbardi, Malegaon Road, Dhule, Maharashtra 424001"
81,"Regional Institute of Medical Sciences, Imphal","Lamphel Road, Lamphelpat, Imphal, Manipur 795004"
82,"Jawaharlal Nehru Institute of Medical Sciences, Imphal","Porompat, Imphal, Manipur 795004"
83,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences (NEIGRIHMS), Shillong","NEIGRIHMS,Mawdiangdiang Shillong-793018, Meghalaya, India"
84,"ICMR-Regional Medical Research Centre (RMRC), Bhubaneswar","Chandrasekharpur, Bhubaneswar - 751 023,  Odisha"
85,"SCB Medical College Hospital, Cuttack","SCB Medical College Hospital,  Manglabag, Cuttack-753007"
86,"Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Puducherry","JIPMER Campus Rd, Gorimedu, Dhanvantari Nagar, Puducherry, 605006"
87,"Madurai Medical College, Madurai","Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020"
89,"Government Medical College, Amritsar","Medical Enclave, Amritsar, Punjab 143001"
90,"Government Medical College, Patiala","Sangrur Rd, New Lal Bagh Colony, Patiala, Punjab 147001"
91,"Government Theni  Medical College, Theni","Govt. Theni Medical College, k. villakku, Tamil Nadu 625531"
92,"Kumar Mangalam Government Medical College, Salem","Government Mohan Kumaramangalam Medical College, Steel Plant Road Sarkar Kollappatty, Salem, Tamil Nadu 636030"
93," Tirunelveli Medical College, Tirunelveli","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011"
94,"Coimbatore Medical College, Coimbatore","Coimbatore Medical College, 1 A, SF No 498, Avinashi Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641018"
95,"King Institute of Preventive Medicine and Research, Chennai","King Institute of Preventive Medicine and Research, Guindy, Chennai, Tamil Nadu 600032"
96,"Madras Medical College, Chennai, Tamil Nadu","Madras Medical College, Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003 "
98,"Sawai Man Singh (SMS) Medical College, Jaipur","SMS Medical College, Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan 302004"
99,"Dr. Sampurnanand Medical College, Jodhpur","Dr. S.N. Medical College, Residency Road, Near Sriram Excellency Hotel, Sector-D, Shastri Nagar, opposite Petrol Pump, Jodhpur, Rajasthan 342003"
100,"Government Villupuram Medical College, Villupuram","Government Villupuram Medical College, Mundiyampakkam, Villupuram, Tamil Nadu 605601 "
101,"RNT Medical College, Udaipur","RNT Medical College, Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001"
102,"Government Medical College, Thiruvarur","Government Medical College, Collector office Master Plan Complex, Collector Office Road, Thiruvarur, Tamil Nadu 610004 "
103,"S.P. Medical College, Bikaner","S.P. Medical College, PBM Hospital, Bikaner, Rajasthan 334001"
105,"Jhalawar Medical College, Jhalawar","Jhalawar Medical College, N.H.-12, Kota Rd, Jhalawar, Rajasthan 326001"
106,"Osmania Medical College, Hyderabad","Osmania Medical College, 5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095"
107,"All India Institute of Medical Sciences (AIIMS), Jodhpur","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni, Jodhpur, Rajasthan 342005"
108,"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003"
109,"Dr Lal PathLabs, National Reference laboratory, New Delhi","National Reference laboratory, B7 Rd, Block E, Sector 18, Rohini, New Delhi, Delhi 110085"
110,"Thyrocare Technologies Limited,  Navi Mumbai","Thyrocare Technologies Limited, D-37/1 MIDC Turbhe Opp Sandoz, MIDC Industrial Area, Sanpada, Navi Mumbai, Maharashtra 400703"
111,"Sir H.N. Reliance Foundation Hospital and Research Center, Mumbai","Reliance Life Sciences Pvt Ltd, MIDC, R-282, Thane - Belapur Rd, T.T.C. Industrial Area, Rabale, Navi Mumbai, Maharashtra 400701"
112,"Suburban Diagnostics(INDIA) Pvt. Ltd, Mumbai","2nd Floor Aston, Shastri Nagar, Andheri (W), Mumbai, Maharashtra, India 400053"
113,"Metropolis Healthcare Ltd, Mumbai","Metropolis Healthcare Ltd, 4th Floor, Commerical Building 1-A, Kohinoor City Mall, Off LBS Marg, Vidyavihar (West), Mumbai, Maharashtra 400070"
114,"Unipath Speciality Laboratory Limited, Ahmedabad","Unipath Speciality Laboratory Limited, 102, 1st Floor, Sanoma Plaza, Sheth Mangald Road, Opp. Parimal Garden, Ellisbridge, Ahmedabad, Gujarat 380006"
115,"Neuberg Anand Reference Laboratory, Bengaluru","Neuberg Anand Reference Laboratory, Anand Tower, #54, bowring Hospital Road, Bengaluru, Karnataka, India 560001"
116,"SRL Diagnostics, Goregaon West","SRL Diagnostics, Plot No 1, Prime Square building, Gaiwadi Industrial, estate, Next to Patel Petrol Pump, Opposite Mahesh Nagar, S.V. Road, Goregaon West, Mumbai, Maharashtra 400062"
117," Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004"
118,"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006"
119,"Strand Life Sciences, Gurugram","Strand Life Sciences, A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001"
122," Ram Manohar Lohia Hospital, New Delhi","Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001"
123,"Institute of Liver and Biliary Sciences, New Delhi","D1 ILBS Road, Vasant Kunj, New Delhi, Delhi 110070"
